temps,COMMANDE,ACTU,MILIEU,LASER,LASER_ESTIME,STABILITE
628.0,427.0,18.909,23.575,25.367,25.017,0.0
630.0,449.0,18.888,23.426,25.128,24.857,0.0
632.0,488.0,18.888,23.211,25.0,24.694,0.0
634.0,499.0,18.909,23.105,24.804,24.538,0.0
636.0,533.0,18.842,22.91,24.675,24.38,0.0
638.0,568.0,18.884,22.716,24.48,24.222,0.0
640.0,574.0,18.817,22.631,24.284,24.071,0.0
642.0,587.0,18.881,22.526,24.245,23.927,0.0
644.0,623.0,18.898,22.332,24.117,23.78,0.0
646.0,620.0,18.982,22.29,23.943,23.643,0.0
648.0,634.0,19.003,22.184,23.883,23.511,0.0
650.0,637.0,18.979,22.12,23.688,23.387,0.0
652.0,647.0,19.108,22.036,23.582,23.267,0.0
654.0,674.0,19.172,21.885,23.366,23.146,0.0
656.0,673.0,19.214,21.842,23.281,23.034,0.0
658.0,667.0,19.256,21.825,23.175,22.931,0.0
660.0,673.0,19.319,21.762,23.158,22.832,0.0
662.0,702.0,19.231,21.61,23.052,22.73,0.0
664.0,692.0,19.294,21.61,22.9,22.638,0.0
666.0,699.0,19.249,21.547,22.903,22.55,0.0
668.0,701.0,19.291,21.505,22.751,22.467,0.0
670.0,703.0,19.378,21.463,22.688,22.388,0.0
672.0,683.0,19.399,21.508,22.624,22.321,0.0
674.0,698.0,19.378,21.424,22.519,22.253,0.0
676.0,696.0,19.441,21.403,22.455,22.19,0.0
678.0,722.0,19.462,21.273,22.48,22.122,0.0
680.0,733.0,19.396,21.206,22.371,22.055,0.0
682.0,726.0,19.396,21.206,22.307,21.995,0.0
684.0,735.0,19.526,21.143,22.177,21.935,0.0
686.0,734.0,19.568,21.122,22.135,21.879,0.0
688.0,739.0,19.589,21.08,22.071,21.825,0.0
690.0,721.0,19.543,21.125,22.029,21.78,0.0
692.0,727.0,19.543,21.083,22.032,21.736,0.0
694.0,727.0,19.543,21.062,21.99,21.694,0.0
696.0,750.0,19.543,20.953,21.86,21.647,0.0
698.0,740.0,19.585,20.974,21.839,21.607,0.0
700.0,746.0,19.585,20.932,21.797,21.567,0.0
702.0,718.0,19.606,21.02,21.776,21.538,0.0
704.0,736.0,19.652,20.936,21.691,21.505,0.0
706.0,726.0,19.673,20.957,21.691,21.477,0.0
708.0,733.0,19.564,20.915,21.716,21.448,0.0
710.0,758.0,19.543,20.806,21.716,21.413,0.0
712.0,765.0,19.522,20.76,21.628,21.377,0.0
714.0,767.0,19.501,20.739,21.607,21.343,0.0
716.0,768.0,19.501,20.718,21.607,21.31,0.0
718.0,741.0,19.543,20.806,21.586,21.288,0.0
720.0,760.0,19.501,20.722,21.522,21.261,0.0
722.0,751.0,19.522,20.743,21.522,21.239,0.0
724.0,759.0,19.434,20.7,21.568,21.215,0.0
726.0,755.0,19.522,20.7,21.438,21.193,0.0
728.0,758.0,19.434,20.679,21.438,21.172,0.0
